A01                                                Body Regions                                                             
A02.165.407.150                                    Cartilage, Articular                                                     
A02.165.407.325                                    Costal Cartilage                                                         
A02.165.407.500                                    Laryngeal Cartilages                                                     
A02.165.407.500.083                                Arytenoid Cartilage                                                      
A02.165.407.500.211                                Cricoid Cartilage                                                        
A02.165.407.500.411                                Epiglottis                                                               
A02.165.407.500.870                                Thyroid Cartilage                                                        
A02.165.407.550                                    Nasal Cartilages                                                         
A02.340                                            Fascia                                                                   
A02.340.424                                        Fascia Lata                                                              
A02.340.800                                        Tenon Capsule                                                            
A02.513                                            Ligaments                                                                
A02.513.170                                        Broad Ligament                                                           
A02.513.514                                        Ligaments, Articular                                                     
A02.513.514.100                                    Anterior Cruciate Ligament                                               
A02.513.514.162                                    Collateral Ligaments                                                     
A02.513.514.162.250                                Collateral Ligament, Ulnar                                               
A02.513.514.162.500                                Lateral Ligament, Ankle                                                  
A02.513.514.162.600                                Medial Collateral Ligament, Knee                                         
A02.513.514.287                                    Ligamentum Flavum                                                        
A02.513.514.350                                    Longitudinal Ligaments                                                   
A02.513.514.475                                    Patellar Ligament                                                        
A02.513.514.538                                    Plantar Plate                                                            
A02.513.514.600                                    Posterior Cruciate Ligament                                              
A02.513.514.800                                    Round Ligament of Femur                                                  
A02.513.901                                        Round Ligaments                                                          
A02.513.901.500                                    Round Ligament of Femur                                                  
A02.513.901.750                                    Round Ligament of Liver                                                  
A02.513.901.875                                    Round Ligament of Uterus                                                 
A02.633                                            Muscles                                                                  
A02.633.567                                        Muscle, Skeletal                                                         
A02.633.567.050                                    Abdominal Muscles                                                        
A02.633.567.050.375                                Abdominal Oblique Muscles                                                
A02.633.567.050.750                                Pelvic Floor                                                             
A02.633.567.050.800                                Rectus Abdominis                                                         
A02.633.567.175                                    Back Muscles                                                             
A02.633.567.175.500                                Intermediate Back Muscles                                                
A02.633.567.175.750                                Paraspinal Muscles                                                       
A02.633.567.175.875                                Superficial Back Muscles                                                 
A02.633.567.300                                    Deltoid Muscle                                                           
A02.633.567.400                                    Facial Muscles                                                           
A02.633.567.425                                    Gracilis Muscle                                                          
A02.633.567.450                                    Hamstring Muscles                                                        
A02.633.567.500                                    Laryngeal Muscles                                                        
A02.633.567.600                                    Masticatory Muscles                                                      
A02.633.567.600.500                                Masseter Muscle                                                          
A02.633.567.600.700                                Pterygoid Muscles                                                        
A02.633.567.600.850                                Temporal Muscle                                                          
A02.633.567.650                                    Neck Muscles                                                             
A02.633.567.700                                    Oculomotor Muscles                                                       
A02.633.567.750                                    Palatal Muscles                                                          
A02.633.567.775                                    Pectoralis Muscles                                                       
A02.633.567.800                                    Pharyngeal Muscles                                                       
A02.633.567.800.360                                Esophageal Sphincter, Upper                                              
A02.633.567.800.680                                Velopharyngeal Sphincter                                                 
A02.633.567.825                                    Psoas Muscles                                                            
A02.633.567.850                                    Quadriceps Muscle                                                        
A02.633.567.900                                    Respiratory Muscles                                                      
A02.633.567.900.300                                Diaphragm                                                                
A02.633.567.900.500                                Intercostal Muscles                                                      
A02.633.567.912                                    Rotator Cuff                                                             
A02.633.567.950                                    Stapedius                                                                
A02.633.567.975                                    Tensor Tympani                                                           
A02.633.570                                        Muscle, Smooth                                                           
A02.633.570.210                                    Esophageal Sphincter, Lower                                              
A02.633.570.491                                    Muscle, Smooth, Vascular                                                 
A02.633.570.500                                    Myometrium                                                               
A02.633.580                                        Myocardium                                                               
A02.633.580.680                                    Papillary Muscles                                                        
A02.835                                            Skeleton                                                                 
A02.835.232                                        Bone and Bones                                                           
A02.835.232.022                                    Bone-Implant Interface                                                   
A02.835.232.043                                    Bones of Lower Extremity                                                 
A02.835.232.043.300                                Foot Bones                                                               
A02.835.232.043.300.492                            Metatarsal Bones                                                         
A02.835.232.043.300.710                            Tarsal Bones                                                             
A02.835.232.043.300.710.300                        Calcaneus                                                                
A02.835.232.043.300.710.780                        Talus                                                                    
A02.835.232.043.300.800                            Toe Phalanges                                                            
A02.835.232.043.650                                Leg Bones                                                                
A02.835.232.043.650.247                            Femur                                                                    
A02.835.232.043.650.247.343                        Femur Head                                                               
A02.835.232.043.650.247.510                        Femur Neck                                                               
A02.835.232.043.650.321                            Fibula                                                                   
A02.835.232.043.650.624                            Patella                                                                  
A02.835.232.043.650.883                            Tibia                                                                    
A02.835.232.043.825                                Pelvic Bones                                                             
A02.835.232.043.825.108                            Acetabulum                                                               
A02.835.232.043.825.434                            Ilium                                                                    
A02.835.232.043.825.548                            Ischium                                                                  
A02.835.232.043.825.781                            Pubic Bone                                                               
A02.835.232.087                                    Bones of Upper Extremity                                                 
A02.835.232.087.090                                Arm Bones                                                                
A02.835.232.087.090.400                            Humerus                                                                  
A02.835.232.087.090.400.400                        Humeral Head                                                             
A02.835.232.087.090.700                            Radius                                                                   
A02.835.232.087.090.850                            Ulna                                                                     
A02.835.232.087.090.850.600                        Olecranon Process                                                        
A02.835.232.087.227                                Clavicle                                                                 
A02.835.232.087.319                                Hand Bones                                                               
A02.835.232.087.319.150                            Carpal Bones                                                             
A02.835.232.087.319.150.150                        Capitate Bone                                                            
A02.835.232.087.319.150.400                        Hamate Bone                                                              
A02.835.232.087.319.150.500                        Lunate Bone                                                              
A02.835.232.087.319.150.600                        Pisiform Bone                                                            
A02.835.232.087.319.150.750                        Scaphoid Bone                                                            
A02.835.232.087.319.150.800                        Trapezium Bone                                                           
A02.835.232.087.319.150.805                        Trapezoid Bone                                                           
A02.835.232.087.319.150.831                        Triquetrum Bone                                                          
A02.835.232.087.319.350                            Finger Phalanges                                                         
A02.835.232.087.319.550                            Metacarpal Bones                                                         
A02.835.232.087.783                                Scapula                                                                  
A02.835.232.087.783.261                            Acromion                                                                 
A02.835.232.087.783.356                            Coracoid Process                                                         
A02.835.232.087.783.450                            Glenoid Cavity                                                           
A02.835.232.169                                    Diaphyses                                                                
A02.835.232.251                                    Epiphyses                                                                
A02.835.232.251.352                                Growth Plate                                                             
A02.835.232.409                                    Hyoid Bone                                                               
A02.835.232.570                                    Rib Cage                                                                 
A02.835.232.570.500                                Ribs                                                                     
A02.835.232.570.500.150                            Cervical Rib                                                             
A02.835.232.570.750                                Sternum                                                                  
A02.835.232.570.750.442                            Manubrium                                                                
A02.835.232.570.750.825                            Xiphoid Bone                                                             
A02.835.232.730                                    Sesamoid Bones                                                           
A02.835.232.730.500                                Patella                                                                  
A02.835.232.781                                    Skull                                                                    
A02.835.232.781.175                                Cranial Fontanelles                                                      
A02.835.232.781.200                                Cranial Sutures                                                          
A02.835.232.781.292                                Ethmoid Bone                                                             
A02.835.232.781.324                                Facial Bones                                                             
A02.835.232.781.324.502                            Jaw                                                                      
A02.835.232.781.324.502.125                        Alveolar Process                                                         
A02.835.232.781.324.502.125.800                    Tooth Socket                                                             
A02.835.232.781.324.502.320                        Dental Arch                                                              
A02.835.232.781.324.502.632                        Mandible                                                                 
A02.835.232.781.324.502.632.130                    Chin                                                                     
A02.835.232.781.324.502.632.600                    Mandibular Condyle                                                       
A02.835.232.781.324.502.645                        Maxilla                                                                  
A02.835.232.781.324.502.660                        Palate, Hard                                                             
A02.835.232.781.324.665                            Nasal Bone                                                               
A02.835.232.781.324.690                            Orbit                                                                    
A02.835.232.781.324.948                            Turbinates                                                               
A02.835.232.781.324.971                            Vomer                                                                    
A02.835.232.781.324.995                            Zygoma                                                                   
A02.835.232.781.375                                Frontal Bone                                                             
A02.835.232.781.572                                Occipital Bone                                                           
A02.835.232.781.572.434                            Foramen Magnum                                                           
A02.835.232.781.651                                Parietal Bone                                                            
A02.835.232.781.670                                Pterygopalatine Fossa                                                    
A02.835.232.781.750                                Skull Base                                                               
A02.835.232.781.750.150                            Cranial Fossa, Anterior                                                  
A02.835.232.781.750.165                            Cranial Fossa, Middle                                                    
A02.835.232.781.750.400                            Cranial Fossa, Posterior                                                 
A02.835.232.781.802                                Sphenoid Bone                                                            
A02.835.232.781.802.662                            Sella Turcica                                                            
A02.835.232.781.885                                Temporal Bone                                                            
A02.835.232.781.885.444                            Mastoid                                                                  
A02.835.232.781.885.681                            Petrous Bone                                                             
A02.835.232.834                                    Spine                                                                    
A02.835.232.834.151                                Cervical Vertebrae                                                       
A02.835.232.834.151.383                            Axis, Cervical Vertebra                                                  
A02.835.232.834.151.383.668                        Odontoid Process                                                         
A02.835.232.834.151.500                            Cervical Atlas                                                           
A02.835.232.834.229                                Coccyx                                                                   
A02.835.232.834.432                                Intervertebral Disc                                                      
A02.835.232.834.432.250                            Annulus Fibrosus                                                         
A02.835.232.834.432.500                            Nucleus Pulposus                                                         
A02.835.232.834.519                                Lumbar Vertebrae                                                         
A02.835.232.834.717                                Sacrum                                                                   
A02.835.232.834.803                                Spinal Canal                                                             
A02.835.232.834.803.350                            Epidural Space                                                           
A02.835.232.834.892                                Thoracic Vertebrae                                                       
A02.835.583                                        Joints                                                                   
A02.835.583.032                                    Acromioclavicular Joint                                                  
A02.835.583.097                                    Atlanto-Axial Joint                                                      
A02.835.583.101                                    Atlanto-Occipital Joint                                                  
A02.835.583.156                                    Bursa, Synovial                                                          
A02.835.583.192                                    Cartilage, Articular                                                     
A02.835.583.290                                    Elbow Joint                                                              
A02.835.583.378                                    Foot Joints                                                              
A02.835.583.378.062                                Ankle Joint                                                              
A02.835.583.378.531                                Metatarsophalangeal Joint                                                
A02.835.583.378.531.500                            Plantar Plate                                                            
A02.835.583.378.831                                Tarsal Joints                                                            
A02.835.583.378.831.780                            Subtalar Joint                                                           
A02.835.583.378.900                                Toe Joint                                                                
A02.835.583.378.900.500                            Plantar Plate                                                            
A02.835.583.405                                    Hand Joints                                                              
A02.835.583.405.174                                Carpal Joints                                                            
A02.835.583.405.200                                Carpometacarpal Joints                                                   
A02.835.583.405.350                                Finger Joint                                                             
A02.835.583.405.500                                Metacarpophalangeal Joint                                                
A02.835.583.405.500.900                            Palmar Plate                                                             
A02.835.583.405.930                                Wrist Joint                                                              
A02.835.583.405.930.800                            Triangular Fibrocartilage                                                
A02.835.583.411                                    Hip Joint                                                                
A02.835.583.411.500                                Round Ligament of Femur                                                  
A02.835.583.443                                    Joint Capsule                                                            
A02.835.583.443.800                                Synovial Membrane                                                        
A02.835.583.443.800.800                            Synovial Fluid                                                           
A02.835.583.475                                    Knee Joint                                                               
A02.835.583.475.590                                Menisci, Tibial                                                          
A02.835.583.475.650                                Patellofemoral Joint                                                     
A02.835.583.512                                    Ligaments, Articular                                                     
A02.835.583.512.100                                Anterior Cruciate Ligament                                               
A02.835.583.512.162                                Collateral Ligaments                                                     
A02.835.583.512.162.250                            Collateral Ligament, Ulnar                                               
A02.835.583.512.162.500                            Lateral Ligament, Ankle                                                  
A02.835.583.512.162.600                            Medial Collateral Ligament, Knee                                         
A02.835.583.512.287                                Ligamentum Flavum                                                        
A02.835.583.512.350                                Longitudinal Ligaments                                                   
A02.835.583.512.400                                Palmar Plate                                                             
A02.835.583.512.475                                Patellar Ligament                                                        
A02.835.583.512.538                                Plantar Plate                                                            
A02.835.583.512.600                                Posterior Cruciate Ligament                                              
A02.835.583.512.950                                Round Ligament of Femur                                                  
A02.835.583.656                                    Pubic Symphysis                                                          
A02.835.583.707                                    Sacroiliac Joint                                                         
A02.835.583.748                                    Shoulder Joint                                                           
A02.835.583.781                                    Sternoclavicular Joint                                                   
A02.835.583.790                                    Sternocostal Joints                                                      
A02.835.583.861                                    Temporomandibular Joint                                                  
A02.835.583.861.900                                Temporomandibular Joint Disc                                             
A02.835.583.979                                    Zygapophyseal Joint                                                      
A02.880                                            Tendons                                                                  
A02.880.176                                        Achilles Tendon                                                          
A02.880.307                                        Hamstring Tendons                                                        
A02.880.438                                        Patellar Ligament                                                        
A02.880.700                                        Rotator Cuff                                                             
A03                                                Digestive System                                                         
A03.159                                            Biliary Tract                                                            
A03.159.183                                        Bile Ducts                                                               
A03.159.183.079                                    Bile Ducts, Extrahepatic                                                 
A03.159.183.079.300                                Common Bile Duct                                                         
A03.159.183.079.300.950                            Ampulla of Vater                                                         
A03.159.183.079.300.950.600                        Sphincter of Oddi                                                        
A03.159.183.079.450                                Cystic Duct                                                              
A03.159.183.079.600                                Hepatic Duct, Common                                                     
A03.159.183.158                                    Bile Ducts, Intrahepatic                                                 
A03.159.183.158.125                                Bile Canaliculi                                                          
A03.159.439                                        Gallbladder                                                              
A03.556                                            Gastrointestinal Tract                                                   
A03.556.124                                        Intestines                                                               
A03.556.124.369                                    Intestinal Mucosa                                                        
A03.556.124.369.290                                Enterocytes                                                              
A03.556.124.369.320                                Goblet Cells                                                             
A03.556.124.369.700                                Paneth Cells                                                             
A03.556.124.526                                    Intestine, Large                                                         
A03.556.124.526.070                                Anal Canal                                                               
A03.556.124.526.209                                Cecum                                                                    
A03.556.124.526.209.290                            Appendix                                                                 
A03.556.124.526.356                                Colon                                                                    
A03.556.124.526.356.333                            Colon, Ascending                                                         
A03.556.124.526.356.500                            Colon, Descending                                                        
A03.556.124.526.356.668                            Colon, Sigmoid                                                           
A03.556.124.526.356.834                            Colon, Transverse                                                        
A03.556.124.526.767                                Rectum                                                                   
A03.556.124.684                                    Intestine, Small                                                         
A03.556.124.684.124                                Duodenum                                                                 
A03.556.124.684.124.236                            Ampulla of Vater                                                         
A03.556.124.684.124.236.572                        Sphincter of Oddi                                                        
A03.556.124.684.124.322                            Brunner Glands                                                           
A03.556.124.684.249                                Ileum                                                                    
A03.556.124.684.249.400                            Ileocecal Valve                                                          
A03.556.124.684.249.612                            Meckel Diverticulum                                                      
A03.556.124.684.500                                Jejunum                                                                  
A03.556.249                                        Lower Gastrointestinal Tract                                             
A03.556.249.124                                    Ileum                                                                    
A03.556.249.124.400                                Ileocecal Valve                                                          
A03.556.249.124.612                                Meckel Diverticulum                                                      
A03.556.249.249                                    Intestine, Large                                                         
A03.556.249.249.070                                Anal Canal                                                               
A03.556.249.249.209                                Cecum                                                                    
A03.556.249.249.209.290                            Appendix                                                                 
A03.556.249.249.356                                Colon                                                                    
A03.556.249.249.356.333                            Colon, Ascending                                                         
A03.556.249.249.356.500                            Colon, Descending                                                        
A03.556.249.249.356.668                            Colon, Sigmoid                                                           
A03.556.249.249.356.834                            Colon, Transverse                                                        
A03.556.249.249.767                                Rectum                                                                   
A03.556.249.750                                    Jejunum                                                                  
A03.556.500                                        Mouth                                                                    
A03.556.500.379                                    Dentition                                                                
A03.556.500.760                                    Salivary Glands                                                          
A03.556.500.760.464                                Parotid Gland                                                            
A03.556.500.760.640                                Salivary Ducts                                                           
A03.556.500.760.650                                Salivary Glands, Minor                                                   
A03.556.500.760.687                                Sublingual Gland                                                         
A03.556.500.760.812                                Submandibular Gland                                                      
A03.556.500.760.906                                von Ebner Glands                                                         
A03.556.500.885                                    Tongue                                                                   
A03.556.500.885.431                                Lingual Frenum                                                           
A03.556.500.885.779                                Taste Buds                                                               
A03.556.750                                        Pharynx                                                                  
A03.556.875                                        Upper Gastrointestinal Tract                                             
A03.556.875.249                                    Duodenum                                                                 
A03.556.875.249.160                                Ampulla of Vater                                                         
A03.556.875.249.160.572                            Sphincter of Oddi                                                        
A03.556.875.249.322                                Brunner Glands                                                           
A03.556.875.500                                    Esophagus                                                                
A03.556.875.500.180                                Esophageal Mucosa                                                        
A03.556.875.500.360                                Esophageal Sphincter, Upper                                              
A03.556.875.500.414                                Esophagogastric Junction                                                 
A03.556.875.500.414.350                            Esophageal Sphincter, Lower                                              
A03.556.875.875                                    Stomach                                                                  
A03.556.875.875.163                                Cardia                                                                   
A03.556.875.875.330                                Esophagogastric Junction                                                 
A03.556.875.875.330.350                            Esophageal Sphincter, Lower                                              
A03.556.875.875.419                                Gastric Fundus                                                           
A03.556.875.875.440                                Gastric Mucosa                                                           
A03.556.875.875.440.150                            Chief Cells, Gastric                                                     
A03.556.875.875.440.250                            Enterochromaffin Cells                                                   
A03.556.875.875.440.300                            Gastrin-Secreting Cells                                                  
A03.556.875.875.440.708                            Parietal Cells, Gastric                                                  
A03.556.875.875.440.854                            Somatostatin-Secreting Cells                                             
A03.556.875.875.578                                Gastric Stump                                                            
A03.556.875.875.716                                Pyloric Antrum                                                           
A03.556.875.875.799                                Pylorus                                                                  
A03.620                                            Liver                                                                    
A03.620.150                                        Bile Ducts, Intrahepatic                                                 
A03.620.150.125                                    Bile Canaliculi                                                          
A03.620.575                                        Round Ligament of Liver                                                  
A03.734                                            Pancreas                                                                 
A03.734.414                                        Islets of Langerhans                                                     
A03.734.414.065                                    Glucagon-Secreting Cells                                                 
A03.734.414.131                                    Insulin-Secreting Cells                                                  
A03.734.414.587                                    Pancreatic Polypeptide-Secreting Cells                                   
A03.734.414.793                                    Somatostatin-Secreting Cells                                             
A03.734.540                                        Pancreas, Exocrine                                                       
A03.734.667                                        Pancreatic Ducts                                                         
A03.734.667.500                                    Ampulla of Vater                                                         
A04                                                Respiratory System                                                       
A04.329                                            Larynx                                                                   
A04.329.364                                        Glottis                                                                  
A04.329.364.737                                    Vocal Cords                                                              
A04.329.591                                        Laryngeal Cartilages                                                     
A04.329.591.085                                    Arytenoid Cartilage                                                      
A04.329.591.211                                    Cricoid Cartilage                                                        
A04.329.591.411                                    Epiglottis                                                               
A04.329.591.870                                    Thyroid Cartilage                                                        
A04.329.597                                        Laryngeal Mucosa                                                         
A04.329.597.320                                    Goblet Cells                                                             
A04.329.604                                        Laryngeal Muscles                                                        
A04.411                                            Lung                                                                     
A04.411.125                                        Bronchi                                                                  
A04.411.125.500                                    Bronchioles                                                              
A04.411.715                                        Pulmonary Alveoli                                                        
A04.411.715.100                                    Alveolar Epithelial Cells                                                
A04.411.715.200                                    Blood-Air Barrier                                                        
A04.531                                            Nose                                                                     
A04.531.378                                        Nasal Bone                                                               
A04.531.413                                        Nasal Cartilages                                                         
A04.531.449                                        Nasal Cavity                                                             
A04.531.520                                        Nasal Mucosa                                                             
A04.531.520.320                                    Goblet Cells                                                             
A04.531.520.573                                    Olfactory Mucosa                                                         
A04.531.520.573.580                                Olfactory Receptor Neurons                                               
A04.531.591                                        Nasal Septum                                                             
A04.531.591.469                                    Vomer                                                                    
A04.531.621                                        Paranasal Sinuses                                                        
A04.531.621.267                                    Ethmoid Sinus                                                            
A04.531.621.387                                    Frontal Sinus                                                            
A04.531.621.578                                    Maxillary Sinus                                                          
A04.531.621.827                                    Sphenoid Sinus                                                           
A04.531.898                                        Turbinates                                                               
A04.623                                            Pharynx                                                                  
A04.623.490                                        Hypopharynx                                                              
A04.623.490.600                                    Pyriform Sinus                                                           
A04.623.557                                        Nasopharynx                                                              
A04.623.557.500                                    Adenoids                                                                 
A04.623.603                                        Oropharynx                                                               
A04.623.603.925                                    Palatine Tonsil                                                          
A04.623.617                                        Pharyngeal Muscles                                                       
A04.623.617.360                                    Esophageal Sphincter, Upper                                              
A04.623.617.680                                    Velopharyngeal Sphincter                                                 
A04.716                                            Pleura                                                                   
A04.760                                            Respiratory Mucosa                                                       
A04.760.259                                        Goblet Cells                                                             
A04.760.520                                        Laryngeal Mucosa                                                         
A04.760.600                                        Nasal Mucosa                                                             
A04.760.600.640                                    Olfactory Mucosa                                                         
A04.760.600.640.640                                Olfactory Receptor Neurons                                               
A04.889                                            Trachea                                                                  
A05                                                Urogenital System                                                        
A05.360                                            Genitalia                                                                
                                         
